BAN964565,HG RAPHAEL GUNDAM,"The HG Raphael, and its massive cannon are here! Beam rifle included.",24.0,24.0,18506,4543112645654,120,100
BAN953122,HG GN ARMS + GUNDAM EXIA,"Here's a great set that includes snap-fit plastic kits of GN Arms Type E and Gundam Exia in Transam mode! Just when the Celestial Being's Mobile Suits were about to be annihilated by the new GN-X units from the three superpower nations, in comes GN Arms and pilot Lasse Aeon to the rescue! As in the show, GN Arms can switch to GN Armor mode to allow Gundam Exia to dock with it for a major boost in both speed and firepower. The weapons included with GN Armor mode are two large GN swords, two GN beam guns, and two large GN cannons. The included Gundam Exia kit is almost the same as the previously released HG Gundam Exia, with the exception of red plastic parts and red foil stickers to build it in Transam mode. A display base is included. ",66.0,66.0,26607,4543112531223,120,100
BAN956656,HG CHERUDIM GUNDAM,"A Celestial Being Mobile Suit specializing in long-range combat, Cherudim Gundam can take down enemy units with precision shooting using its GN Sniper Rifle II and the assistance of its HoloScreen when Trans-Am mode is activated. This sharp snap-fit kit of Lockon's Mobile Suit comes molded in color and will be fully articulated with polycapped joints upon completion. A sheet of foil stickers is included for detail. Cherudim Gundam is packed with its signature weapon loadouts including its main GN Sniper Rifle II that can switch between rifle mode and a three-barrel vulcan gun mode, while the dual GN Beam Pistol IIs stored on its backpack primarily function as pistols but they can also be used as axe-like melee weapons. The nine GN Shield Bits on the mech are removable and can be attached in various configurations on the included clear stand to form a defense shield. A clear HoloScreen part is also provided to attach to the targeting unit folded out from the backpack. (The clear blue Action Base 2 shown in the photos below is sold separately.) ",14.0,14.0,18283,4543112566560,120,100
BAN957733,HG SERAPHIM GUNDAM,"Carried on the back of Seravee Gundam, Seraphim Gundam is now offered as a snap-fit plastic kit! Molded in color, Seraphim Gundam will be fully poseable with polycap and ball-jointed articulation upon completion, and it's also transformable into a backpack to attach to the back of Bandai's HG Seravee Gundam kit (sold separately). When in backpack mode, its torso can be slid open into Face Burst mode. Two Beam Sabers and a sheet of foil stickers are included. ",12.0,12.0,26214,4543112577337,120,100
BAN961407,HG MASURAO,"A totally revamped Over Flag with samurai-themed armor decorations, the Masurao is powered by a GN Tau Drive and also capable of accessing a Trans-Am-like system that allows it to fight on the same level as its rival 00 Raiser. This sharp snap-fit kit of Masurao will be fully articulated with polycapped joints upon completion. It can be equipped with the included pair of GN beam sabers. Optional hands and a display base are also provided. Includes exploded-view pictorial-type instructions, with notes in Japanese.",18.0,18.0,25890,4543112614070,120,100
BAN962363,HG ASTRAEA TYPE F,"Bandai's latest 1/144 scale kit can be built as either an Astraea Type-F or Type-F2. As usual Bandai has designed this kit using poly-caps to enable it to assume various poses with a good amount of articulation. Included hardware are the GN Shield, NGN Bazooka, GN Hand Missile, GN Beam Saber, and GN Launcher. This guy's ready for action. ",21.0,21.0,25837,4543112623638,120,100
BAN963277,HG 1.5GUNDAM,"Here in 1/144 scale glory is Leif Recitativo's 1.5 Gundam! For an HG Bandai has used a generous amount of poly caps in the design of this kit and the result is one of the most posable HGs ever. The 1.5 transforms between Stand By Mode, Attack Mode, Flight Mode, Alvaaron Cannon Mode,and High Speed Mode with a few simple changes thanks to the uniquely designed binders joints on its back. it comes equipped with its GN Beam Saber, GN Shield, Binder Rifle, GN Buster Rifle, and Alvaaron Cannon. Marking stickers are also included. ",21.0,21.0,15919,4543112632777,120,100
BAN964249,HG GUNDAM ASTRAEA,"This 1/144 scale beauty comes with two types of GN drives so you can build it as either the Astraea or Astraea Type-B. Its weapons include two GN Beam Sabers, a GN Shield, GN Beam Rifle, Proto GN Sword, and the massive GN Launcher. Bandai's use of poly-caps allow the Astraea to hold a variety of poses. Foil marking stickers are included. ",19.0,19.0,25665,4543112642493,120,100
BAN965300,HG OO RAISER GN CONDENSER TYPE,Here's the Condenser type of the ever popular 00 Raiser Gundam that appears in the A Wakening of the Trailblazer film. Bandai has included various effect parts for the Raiser as well as the GN Sword and Rifle. A stand on which to mount the 00 or the Raiser is included. ,24.0,24.0,25645,4543112653000,120,100
BAN958433,1/100 SERAVEE GUNDAM,"Surprises abound when one goes into combat with Seravee Gundam. Not only is the mech capable of taking down multitudes of enemy Mobile Suits with one powerful blast of its GN Bazooka II, but also, its GN Cannons on its backpack and knees can switch into flexible arms to wield its GN Beam Sabers and grab a target, plus it also has a hidden trump in the form of another Mobile Suit that it carries on its back!This snap-fit plastic kit allows you to build a fully articulated 1/100-scale Seravee Gundam along with Seraphim Gundam, which can switch between its backpack mode and a poseable Mobile Suit. The torso-sized head on Seraphim Gundam can slide open into Face Burst Mode, and the mech's arms can also revert back into GN Cannons. Seravee Gundam's signature GN Bazooka II can be combined to form a massive Double Bazooka Cannon that can also slide open into Burst Cannon Mode. Attach each GN Bazooka II to the GN Cannons on its backpack to form the devastating Twin Buster Cannon! All parts come molded in color. A sheet of foil stickers and a sheet of aurora stickers are included. ",43.0,43.0,17135,4543112584335,120,100
BAN966792,HG 1/144 FOREVER GUNDAM,"The latest kit in the Gunpla Builders series is the Forever Gundam.  The Forever Gundam looks to be a pumped up version of the RX-78-2 complete with Hyper Bazooka, Beam Sabers, Gundam Hammer, Funnels, and Beam Rifles. Talk about loaded.  Foil stickers are also provided. ",24.0,24.0,15853,4543112667922,128,100
