,,"COSMIC GROUP - GUNPLA",,,
,,,,,
"SITUAZIONE AGGIORNATA AL 06/09/2011",,,,,
,,,,,
"CODICE COSMIC ","IMMAGINE","ARTICOLO","JAN CODE","DATA PRESUNTA DI ARRIVO","PREZZO SUGGERITO AL PUBBLICO"
,,,,,
"18506","Clicca qui"," HG RAPHAEL GUNDAM","0164565","DISPONIBILE","24,00"
"26607","Clicca qui"," HG GN ARMS + GUNDAM EXIA","0153122","DISPONIBILE","66,00"
"18283","Clicca qui"," HG CHERUDIM GUNDAM","0156656","DISPONIBILE","14,40"
"26214","Clicca qui"," HG SERAPHIM GUNDAM","0157733","DISPONIBILE","12,00"
"25890","Clicca qui"," HG MASURAO","0161407","DISPONIBILE","18,00"
"25837","Clicca qui"," HG ASTRAEA TYPE F","0162363","DISPONIBILE","21,60"
"15919","Clicca qui"," HG 1.5GUNDAM","0163277","DISPONIBILE","21,60"
"25665","Clicca qui"," HG GUNDAM ASTRAEA","0164249","DISPONIBILE","19,20"
"25645","Clicca qui"," HG OO RAISER GN CONDENSER TYPE","0165300","DISPONIBILE","24,00"
"17135","Clicca qui"," 1/100 SERAVEE GUNDAM","0158433","DISPONIBILE","43,20"
"15853","Clicca qui"," HG 1/144 FOREVER GUNDAM","0166792","DISPONIBILE","24,00"
"25531","Clicca qui"," 1/144 HGUC QUBELEY","0073326","DISPONIBILE","18,00"
"19714","Clicca qui"," 1/144 HGUC GUNTANK","0075486","DISPONIBILE","9,60"
"17093","Clicca qui"," 1/144 HGUC GOUF","0075894","DISPONIBILE","9,60"
"25386","Clicca qui"," 1/144 HGUC MSM-07S Z'GOCK(CHAR'S CUSTOM)","0100568","DISPONIBILE","8,40"
"25298","Clicca qui"," 1/144 HGUC RGM-79 GM","0101787","DISPONIBILE","8,40"
"24648","Clicca qui"," 1/144 HGUC ACGUY","0149604","DISPONIBILE","16,80"
"23341","Clicca qui"," 1/144 HGUC GUNPLA START SET　②","0169481","DISPONIBILE","16,80"
"21563","Clicca qui"," MG G ARMOR REAL TYPE COLOR Ver.","0158763","DISPONIBILE","117,60"
